"perm","timestep","event","point_id","parent_id","x","y","stage_from","stage_to","detail","provisional_x","provisional_y","habitat","habitat_nudged"
1,18,"stage_transition",457,194,1469.37432558604,1303.64451231937,1,2,"transition_kernel",1469.37432558604,1303.64451231937,1,FALSE
1,18,"stage_transition",458,195,209.331665721124,2310.09863696431,1,2,"transition_kernel",209.331665721124,2310.09863696431,1,FALSE
1,18,"stage_transition",461,209,1527.71411223303,1669.97264565681,1,2,"transition_kernel",1527.71411223303,1669.97264565681,1,FALSE
1,18,"stage_transition",462,210,1226.98901793579,2196.93963135523,1,2,"transition_kernel",1226.98901793579,2196.93963135523,1,FALSE
1,18,"stage_transition",464,213,1751.93956032475,192.658519677988,1,2,"transition_kernel",1751.93956032475,192.658519677988,1,FALSE
1,18,"stage_transition",466,218,2893.17362164726,416.2175187475,1,2,"transition_kernel",2893.17362164726,416.2175187475,1,FALSE
1,18,"stage_transition",468,220,1356.19346155364,1983.82430342841,1,2,"transition_kernel",1356.19346155364,1983.82430342841,1,FALSE
1,18,"stage_transition",469,221,917.913627745695,2310.49451776037,1,2,"transition_kernel",917.913627745695,2310.49451776037,1,FALSE
1,18,"stage_transition",470,223,1342.9184979481,2580.35529888147,1,2,"transition_kernel",1342.9184979481,2580.35529888147,1,FALSE
1,18,"stage_transition",471,223,969.039447501348,1620.66608064973,1,2,"transition_kernel",969.039447501348,1620.66608064973,1,FALSE
1,18,"stage_transition",474,224,657.465996084362,1187.66376983201,1,2,"transition_kernel",657.465996084362,1187.66376983201,1,FALSE
1,18,"stage_transition",476,226,1059.92592571077,1616.63303662762,1,2,"transition_kernel",1059.92592571077,1616.63303662762,1,FALSE
1,18,"stage_transition",477,231,1212.43504300747,2061.3158751351,1,2,"transition_kernel",1212.43504300747,2061.3158751351,1,FALSE
1,18,"establishment",478,13,1406.10854496171,1791.00197019337,2,1,"SDD",1406.10854496171,1791.00197019337,1,FALSE
1,18,"establishment",479,13,1507.4705979004,1633.19434156372,2,1,"SDD",1507.4705979004,1633.19434156372,1,FALSE
1,18,"establishment",480,13,1238.32646160105,1638.12237996243,2,1,"SDD",1238.32646160105,1638.12237996243,1,FALSE
1,18,"establishment",481,13,1427.66714727517,2003.24840115671,2,1,"SDD",1427.66714727517,2003.24840115671,1,FALSE
1,18,"establishment",482,13,1438.08628859274,1332.76764333555,2,1,"SDD",1438.08628859274,1332.76764333555,1,FALSE
1,18,"establishment",483,19,1473.45487062289,1431.07541476923,2,1,"SDD",1473.45487062289,1431.07541476923,1,FALSE
